"","X600066","X000550","X600031","X000157"
"2011-08-01",-0.064748,-0.093248,-0.055003,-0.073593
"2011-09-01",-0.053365,-0.10727,-0.10774,-0.111215
"2011-10-01",0.074657,0.099801,0.042332,0.026288
"2011-11-01",0.128544,-0.079007,-0.1751,-0.16291
"2011-12-01",-0.009213,-0.020098,0.012107,-0.058752
"2012-01-01",0.043956,0.097049,0.133174,0.184655
"2012-02-01",0.116564,0.057912,0.026038,0.053787
"2012-03-01",-0.025281,-0.072414,-0.158436,-0.097917
"2012-04-01",0.053932,0.045539,0.151589,0.144342
"2012-05-01",-0.082422,0.073333,0.057325,0.094854
"2012-06-01",-0.031479,-0.115942,-0.068273,-0.075576
"2012-07-01",0.015138,-0.197658,-0.144397,-0.042871
"2012-08-01",0.017982,-0.105101,-0.146096,-0.127083
"2012-09-01",-0.062042,-0.011676,-0.027356,0.060271
"2012-10-01",-0.020671,0.025712,-0.064583,-0.026682
"2012-11-01",-0.02439,-0.03252,-0.092428,-0.052443
"2012-12-01",0.211538,0.259104,0.299387,0.158491
"2013-01-01",0.091667,0.026696,0.086874,0.004343
"2013-02-01",0.002545,-0.042254,0.024327,0.014054
"2013-03-01",0.037346,-0.114819,-0.148431,-0.142857
"2013-04-01",-0.036351,-0.007029,-0.027888,-0.058458
"2013-05-01",0.207109,0.12677,-0.053279,-0.067371
"2013-06-01",0.012707,-0.125642,-0.187229,-0.230878
"2013-07-01",-0.055646,0.073808,-0.08522,-0.033149
"2013-08-01",-0.000578,0.013342,0.087336,0.051485
"2013-09-01",0.063584,0.031975,0.041551,0.062147
"2013-10-01",-0.130978,0.130012,-0.055851,0.015957
"2013-11-01",0.073796,0.182258,0.009859,0
"2013-12-01",0.022714,0.155525,-0.104603,-0.048866
"2014-01-01",0.02164,-0.035813,-0.074766,-0.073394
"2014-02-01",0.008919,-0.058367,-0.031987,-0.009901
"2014-03-01",-0.112707,0.019072,-0.033043,-0.026
"2014-04-01",0.051681,0.125904,-0.057554,-0.069815
"2014-05-01",-0.052102,0.072157,-0.005725,0
"2014-06-01",0.040619,0.021142,-0.03263,-0.022075
"2014-07-01",0.149318,0.067633,0.119048,0.06772
"2014-08-01",-0.009164,0.001327,-0.005319,0.010571
"2014-09-01",-0.008161,-0.03478,0.065574,0.056156
"2014-10-01",0.020296,-0.039808,0.022222,-0.00409
"2014-11-01",0.003763,0.079342,0.098662,0.059548
"2014-12-01",0.196036,0.003311,0.519026,0.368217
"2015-01-01",0.145992,0.266007,-0.184369,-0.133144
"2015-02-01",0.087143,0.035193,0.046683,0.022876
"2015-03-01",0.066499,0.082347,0.188967,0.169329
"2015-04-01",0.032019,-0.041415,0.024679,0.07377
"2015-05-01",0.149086,-0.098786,0.254335,0.136132
"2015-06-01",-0.098289,-0.011581,-0.252074,-0.091825
"2015-07-01",-0.057908,-0.128338,-0.214654,-0.261406
"2015-08-01",-0.029959,-0.206641,-0.093298,-0.03172
"2015-09-01",0.001065,0.04998,-0.078261,-0.132174
"2015-10-01",0.165957,0.124226,0.055031,0.048096
"2015-11-01",-0.038321,-0.018933,-0.043219,-0.024857
"2015-12-01",0.066888,0.05193,0.024922,0.04902
"2016-01-01",-0.169409,-0.150767,-0.268997,-0.188785
"2016-02-01",0.011777,-0.049489,0.016632,-0.057604
"2016-03-01",0.025397,0.089669,0.163599,0.122249
"2016-04-01",0.058308,-0.070914,-0.050967,-0.067538
"2016-05-01",0.028766,-0.015102,-0.057407,-0.028037
"2016-06-01",0.010204,0.009532,-0.013752,-0.007212
"2016-07-01",0.160101,0.065681,0.037849,0.012107
"2016-08-01",-0.058337,0.119134,0.017274,0.045455
"2016-09-01",0.01988,0.038351,0.034026,0.097156
"2016-10-01",-0.023119,-0.036935,0.074954,-0.012959
"2016-11-01",-0.023202,0.105735,0.105442,0.041575
"2016-12-01",-0.069359,-0.124797,-0.061538,-0.046218
"2017-01-01",0.034201,0.024074,0.127869,0.002203
"2017-02-01",0.002468,0.027125,0.061047,0.063736
"2017-03-01",0.057607,-0.037676,-0.013699,-0.012397
"2017-04-01",-0.062384,-0.167216,-0.023611,-0.060669
